Date,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground
5/14/1923,"Monsures, France",Grands Express Aeriens,,N/A,Farman F-60 Goliath,F-AEBY,N/A,6,6,0
8/27/1923,"Bucharest, Romania",Campagnie France Roumaine,,N/A,Blériot Spad 46,F-AEGN,N/A,2,2,0
9/7/1923,"Colton, Ohio",US Aerial Mail Service,,N/A,De Havilland DH-4,283,N/A,1,1,0
9/14/1923,"Berks, England",Daimler Airways,,N/A,de Havilland DH-34,G-EBBS,29,6,6,0
11/18/1923,Russia,CCCP,,N/A,Junkers F-13,D-257,N/A,4,2,0
12/6/1923,"Castalia, Ohio",US Aerial Mail Service,,N/A,De Havilland DH-4,318,N/A,1,1,0
12/23/1923,Over the Mediterranean Sea,Military - French Navy,,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,N/A,52,52,0
12/24/1923,"Egbert, WY",US Aerial Mail Service,,N/A,De Havilland DH-4,315,N/A,1,1,0
3/7/1924,"Grampian, Pennsylvania",US Aerial Mail Service,,N/A,De Havilland DH-4,327,N/A,1,1,0
4/24/1924,Over the English Channel,KLM Royal Dutch Airlines,,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,3,3,0
6/8/1924,"Barranquilla, Colombia",SCADTA,,N/A,Junkers F-13,A16,N/A,3,3,0
8/1/1924,United States,US Aerial Mail Service,,N/A,De Havilland DH-4,297,N/A,1,1,0
11/6/1924,"Cabrerolles, France",Grands Express Aeriens,,N/A,,F-AFBD,N/A,1,1,0
12/21/1924,"Goshen, Indiana",US Aerial Mail Service,,N/A,De Havilland DH-4,311,N/A,1,1,0
12/24/1924,"Purley, England",Imperial Airways,,N/A,de Havilland DH-34B,G-EBBX,36,8,8,0
3/22/1925,"Near Tiflies, Georgia, USSR",Zakavia,,N/A,Junkers F-13,R-RECA,590,5,5,0
4/25/1925,"Alicante, Spain",Grands Express Aeriens,,N/A,Breguet 14,,N/A,4,4,0
5/25/1925,"Alicante, Spain",Lignes Aeriennes Latecoere,,N/A,Breguet 14,F-AFBB,N/A,2,2,0
6/25/1925,"Landrécies, France",KLM Royal Dutch Airlines,,N/A,Fokker (KLM)  F.III,H-NABM,KLM-2,4,4,0
6/26/1925,"Alicante, Spain",Grands Express Aeriens,,N/A,Lioré-et-Olivier H-13,F-AHBH,N/A,2,2,0
7/20/1925,"Rosas, Spain",Lignes Aeriennes Latecoere,,N/A,Breguet 14,F-AFBI,N/A,1,1,0
7/24/1925,"Budapest, Hungary",CIDNA,,N/A,Potez IX,,N/A,1,1,0
9/3/1925,"Caldwell, Ohio",Military - U.S. Navy,,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,N/A,43,14,0
9/7/1925,"Toul, France",CIDNA,,N/A,,,N/A,3,3,0
11/14/1925,"Off Boulogne-sur-Mer, France",Air Union,,N/A,Farman F-60 Goliath,F-AMFY,N/A,2,2,0
2/12/1926,"Montpelier, Ohio",US Aerial Mail Service,,N/A,Curtiss Carrier Pigeon,,N/A,1,1,0
3/8/1926,"Staaken, Germany",Deutche Lufthansa,,N/A,Junkers F-13,,N/A,1,1,0
5/31/1926,English Channel,Air Union,,N/A,Breguet 14,F-ADAI,N/A,1,1,0
7/3/1926,"Rossaugpt, Czechoslovakia",Compagnie Internationale de Navigation Aérienne,,Paris - Prague,Caudron C-61,F-AFBT,5307,7,7,0
7/9/1926,"Wolvertem, Belgium",KLM Royal Dutch Airlines,,N/A,Fokker F-4,H-NACC,4759,2,2,0
7/24/1926,"Juist, Germany",Deutsche Lufthansa,,N/A,Junkers F-13,D-272,660,4,4,0
8/18/1926,"Hurst, Kent, England",Air Union,,N/A,Bleriot 155,F-AIEB,2,4,4,0
9/26/1926,"New York, New York",N/A,N/A,New York - Paris,Sikorsky S-25,,N/A,5,2,0
10/8/1926,"Bueren, Germany",Deutsche Lufthansa,,N/A,Fokker FG III,D-468,1554,4,4,0
10/21/1926,English Channel,Imperial Airways,,N/A,Handley Page W-10,G-EBMS,W10/3,12,0,0
11/11/1926,"Cape Bojador, Morocco",Grands Express Aeriens,,N/A,Breguet 14,,N/A,3,3,0
12/16/1926,"Medford, Oregon",PacifiAir Transport,,N/A,Ryan M-1,2,N/A,1,1,0
1/12/1927,"Lille, France",KLM Royal Dutch Airlines,,N/A,Fokker F-VII,H-NADH,N/A,2,2,0
3/20/1927,"Rabat, Morocco",Grands Express Aeriens,,N/A,Breguet 14,F-ALRA,N/A,1,1,0
3/24/1927,"Tambo, Qld, Australia",Qantas,,N/A,de Havilland DH-9C,G-AUED,86,3,3,0
4/15/1927,"King Hill, Idaho",Varney Air Lines,,N/A,,,N/A,1,1,0
4/22/1927,"Goshen, Indiana",US Aerial Mail Service,,N/A,Douglas M-4,626,N/A,1,1,0
4/22/1927,"Floh, Germany",Deutsche Lufthansa,,N/A,Fokker FG III,D-729,1567,2,2,0
5/2/1927,"Algiers, Algeria",Air Union,,N/A,SPCA Meteore 63,,N/A,3,1,0
7/27/1927,"Amoneburg, Germany",Deutsche Lufthansa,,N/A,Junkers F-13,D-206,591,5,5,0
8/22/1927,"Sevenoaks, England",KLM Royal Dutch Airlines,,Croydon - Schiphol,Fokker F-VIII,,4993,11,1,0
9/3/1927,"Willington, Connecticut",Colonial Air Transport,,N/A,Fokker Universal,,N/A,1,1,0
9/17/1927,"Hadley, New Jersey",Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12,7,0
9/22/1927,"Saale, Germany",Deutsche Lufthansa,,N/A,BFW M-18,D-1177,30,4,2,0
9/23/1927,"Schleiz, Germany",Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,N/A,6,6,0
10/6/1927,"Thies, Mauritania",Lignes Aeriennes Latecoere,,N/A,Breguet 14,F-AGBN,N/A,2,2,0
10/30/1927,"New Brunswick, New Jersey",Colonial Air Transport,,N/A,Fairchild FC-2,,N/A,4,4,0
11/16/1927,"Strasburg, France",CIDNA,,N/A,Farman F-121 Jabiru,,N/A,1,1,0
11/16/1927,Over the Gulf of Finland,Aero O-Y,,N/A,Junkers F-13,K-SALD,798,6,6,0
11/29/1927,"Corunna, Indiana",National Air Transport,,N/A,Douglas M-4,,N/A,1,1,0
12/26/1927,"Almeria, Spain",Aeropostale,,N/A,Breguet 14,,N/A,2,2,0
12/28/1927,"Abuerio, Spain",Aeropostale,,N/A,Breguet 14,F-AFGS,N/A,1,1,0
12/31/1927,France,Latecoere Airlines,,N/A,Latécoère 23,,N/A,4,4,0
1/8/1928,"Near Canajoharie, New York",Colonial Western Airlines,,Minola - Albany - Buffalo,Fairchild FC-2,,39,3,3,0
1/16/1928,"Solis, Uruguay",Aeropostale,,N/A,Latecoere 25,,N/A,2,2,0
1/22/1928,"Tarragona, Spain",Aeropostale,,N/A,Breguet 14,F-AHEQ,N/A,2,2,0
1/22/1928,France,Aeropostale,,N/A,Breguet 14,,N/A,2,1,0
1/27/1928,"Almeria, Spain",Aeropostale,,N/A,Breguet 14,F-AEEH,N/A,1,1,0
2/26/1928,"Marquette, Nebraska",Boeing Air Transport,,N/A,Boeing 40,NC280,N/A,2,1,0
3/3/1928,"Rio de Janeiro, Brazil",N/A,N/A,N/A,,,N/A,10,10,0
3/11/1928,"Off Cape Griz Nez, France",Air Union,,N/A,Farman F-60 Goliath,F-AEFC,N/A,2,2,0
4/17/1928,"Federal, Wyoming",Boeing Air Transport,,N/A,Boeing 40,,N/A,2,1,0
4/19/1928,"Minuesa, Spain",Iberia Airlines,,N/A,Rohrbach Roland,M-CCCC,N/A,9,9,0
5/7/1928,N/A,Aeropostale,,N/A,Latecoere 26,F-AIMQ,N/A,1,1,0
5/12/1928,"Dearborn, Minnesota",Ford Air Freight Inc.,,N/A,Ford 4,NC1492,N/A,2,2,0
5/26/1928,"Radevormwald, Germany",Deutsche Lufthansa,,N/A,Junkers F-13,D-583,742,5,3,0
6/14/1928,"Frankfurt, Germany",Deutsche Lufthansa,,N/A,AEGK,D-74,439,5,5,0
6/22/1928,"Lebo, Kansas",National Air Transport,,Chicago - Dallas,Douglas M-4,,N/A,1,1,0
7/10/1928,Over the Gulf of Finland,Aero O-Y,,N/A,Junkers F-13,K-SALB,760,6,6,0
7/13/1928,"Purley, England",Imperial Airways,,Testing,Vickers 74 Vulcan,G-EBLB,9,4,4,0
7/24/1928,"Waalhaven harbor, Netherlands",KLM Royal Dutch Airlines,,N/A,Fokker (KLM) F.III,H-NABR,1533 (KLM-1),1,1,0
8/25/1928,"Near Port Townsend, BC, Canada",British Columbia Airways,,Victoria - Seattle,Ford 4-AT-B Tri Motor,G-CATX,4-AT-26,7,7,0
9/2/1928,"Toul, France",CIDNA,,N/A,Bleriot Spad 56,,N/A,3,3,0
9/4/1928,"Adelaide Hills, Australia",Qantas,,N/A,de Havilland DH.50J,G-AUHI,N/A,2,1,0
9/4/1928,"Pocatello, Idaho",National Parks Airways,,N/A,Fokker Super Universal,NC7242,809,7,7,0
9/6/1928,"Heroldbach, Germany",Deutsche Lufthansa,,N/A,Fokker FG III,D-180,1531,3,3,0
10/4/1928,"Gerona, Spain",Aeropostale,,N/A,Breguet 14,,N/A,3,3,0
10/18/1928,"Polk, Pennsylvania",National Air Transport,,N/A,Douglas M-4,,N/A,1,1,0
10/31/1928,"Valence, France",Air Union,,N/A,Bleriot Spad 56,F-AIMN,N/A,2,1,0
11/15/1928,Off Gibraltar,Aeropostale,,N/A,Latecoere 32,F-AISN,N/A,2,1,0
11/24/1928,"Edgerton, Ohio",Universal Airlines,,Cleveland - Chicago,Hamilton H-47,,46,3,3,0
11/25/1928,"Bristolville, Ohio",National Air Transport,,N/A,Douglas M-4,,N/A,1,1,0
11/25/1928,"Edgerton, Ohio",Continental Air Lines,,Cleveland - Louisville,Travel Air 4000,,N/A,3,3,0
12/1/1928,"Spur, Texas",Sunbeam Air Transport Co.,,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,NC7862,4-AT-47,5,5,0
12/3/1928,Brazil,Syndicato Condor,,N/A,Dornier Wal,P-BACA,63,14,14,0
12/4/1928,"Rio de Janeiro, Brazil",N/A,N/A,N/A,Junkers G24,,N/A,6,6,0
12/11/1928,"Letzlingen, Germany",Deutsche Lufthansa,,N/A,Junkers G-31,D-1473,3005,4,3,0
12/20/1928,"Huron, Ohio",National Air Transport,,Cleveland - Chicago,Douglas M-4,,N/A,1,1,0
12/23/1928,"Chattanooga, Tennessee",Interstate Airlines,,N/A,Fairchild FC-2,,N/A,4,4,0
12/31/1928,"Reims, France",CIDNA,,N/A,Blériot Spad 66,F-AEHX,40,3,2,0
1/5/1929,"Stafford Springs, Connecticut",Colonial Air Transport,,N/A,Fairchild FC-2,,N/A,1,1,0
1/18/1929,"Cove, Oregon",Varney Air Lines,,N/A,Stearman C-38,,N/A,1,1,0
1/25/1929,"Near Corfu, Greece",Aeroespresso,,N/A,CMASA Wal,I-AZDA,53,9,2,0
1/31/1929,"Morgantown, West Virginia",Skyline Transportation Company,,N/A,Travel Air 4000,,N/A,1,1,0
1/31/1929,Off Morocco,Aeropostale,,N/A,Latecoere 26,,N/A,2,2,0
3/17/1929,"Newark, New Jersey",Colonial Western Airlines,,Sightseeing,Ford 5-AT-B Tri Motor,NC7683,4-AT-41,15,14,0
3/30/1929,"Near Beaumont, California",New Standard Airlines,,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,NC7888,617,4,4,0
4/21/1929,"San Diego, California",Maddux Airlines / Military - U.S.Army Air Force,,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,NC9636 / 28-037,4-AT-010,6,6,0
5/18/1929,Hungary,MALERT,,N/A,Fokker F-III,H-MABC,N/A,2,2,0
5/22/1929,Algiers,Aeropostale,,N/A,Cams 53,F-AISX,N/A,5,4,0
6/10/1929,"Santiago de Cuba, Cuba",Pan American Airways,,Santiago de Cuba - Havana,Fokker F-X,NC9700,N/A,5,2,0
6/14/1929,"Barcelona, Spain",Aeropostale,,N/A,Breguet 14,F-AFEJ,N/A,2,1,0
6/17/1929,"Off Dungeness, England",Imperial Airways,,N/A,Handley Page W-10,G-EBMT,W10/4,13,7,0
6/24/1929,"St. Paul, Minnesota",Northwest Orient Airlines,,St. Paul - Minneapolis,Ford 5-AT-B Tri-Motor,NC7416,5-AT-002,8,1,0
6/29/1929,"Lake Constance, Switzerland",Aero Lloyd,,N/A,Domier Delphin III,D-1620,151,5,5,0
6/29/1929,"Columbus, Ohio",Continental Air Lines,,N/A,Travel Air 4000,,N/A,1,1,0
8/11/1929,"Clovis, New Mexico",Middle States Airlines,,N/A,Lockheed Vega,NC870E,N/A,4,4,0
8/13/1929,"Perpignan, France",Aeropostale,,N/A,Breguet 14,,N/A,1,1,0
8/24/1929,"Sochi, Russia",Ukvozduchput,,N/A,Kalinin K-4,CCCP-217,N/A,1,1,0
8/24/1929,"Elm, Germany",Deutsche Lufthansa,,N/A,Fokker FG II,D-757,1571,5,4,0
9/2/1929,"Needles, California",Associated Aviators,,N/A,Lockheed Vega,NR859E,N/A,2,1,0
9/3/1929,"Mt. Taylor, New Mexico",Trans Continental Air Transport,,Albuquerque - Los Angeles,Ford 5-AT-B Tri Motor,NC9649,5-AT-002,8,8,0
9/6/1929,"Jask, Iran",Imperial Airways,,"London, England - India",de Havilland DH-66 Hercules,G-EBMZ,239,5,3,0
9/17/1929,"Off Larache, Morocco",Aeropostale,,N/A,Latecoere 25-3-R,F-AIUJ,704,5,5,0
9/17/1929,"Jacumba, California",Pickwick Airways,,Tijuana - Nogales,Fairchild 71,,N/A,2,1,0
9/17/1929,"Mt Lamentation, Connecticut",Colonial Air Transport,,N/A,Pitcairn PA-6 Mailwing,,N/A,1,1,0
10/26/1929,"Off Spezia, Italy",Imperial Airways,,N/A,Short Calcutta,G-AADN,5748,7,7,0
10/29/1929,"Mount Vernon, Ohio",Continental Air Lines,,Cleveland - Louisville,Stearman C-38,,N/A,1,1,0
10/31/1929,"Off Bremerton, Washington",Bremerton-Seattle Air Taxi / Gorst Air Lines,,Bremerton,Loening C-2C,,N/A,2,2,0
11/4/1929,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,,Mexico City - Juarez,Lockheed Vega 5,NC46M,97,4,4,0
11/6/1929,"Near Godstone, Surrey, England",Deutsche Lufthansa,,Amsterdam - Croyden,Junkers G-24,D-903,911,8,7,0
11/15/1929,"Off Corsica, France",Air Union,,N/A,Liore et Olivier 190,F-AIGB,1,3,3,0
11/30/1929,"Vancouver, Washington",Varney Air Lines,,N/A,Stearman M-2 Speedmail,,N/A,1,1,0
12/2/1929,"Chagrin Falls, Ohio",National Air Transport,,N/A,Douglas M-3,,N/A,1,1,0
12/14/1929,Mediterranean Sea,Aeropostale,,N/A,Bernard 192,F-AJDA,N/A,3,3,0
12/19/1929,"Near Berlin, Germany",Deutsche Lufthansa,,N/A,Arado V1,D-1594,N/A,3,2,0
12/30/1929,"Amarillo, Texas",Trans Continental Air Transport,,N/A,Travel Air B6000,,N/A,5,5,0
1/10/1930,"Brawnson, Nebraska",Boeing Air Transport,,N/A,Boeing 95,NC184E,N/A,1,1,0
1/13/1930,"Antananarivo, Madagascar",Air Orient,,N/A,Farman 190,F-AJJK,N/A,3,3,0
1/19/1930,"Oceanside, California",Maddux Airlines,7,"Aqua Caliente, Mexico - Los Angeles",Ford 5-AT-C Tri Motor,NC9689,5-AT-046,16,16,0
1/25/1930,"Off Ceuta, Spain",Aeropostale,,N/A,Latecoere 25,F-AJCL,N/A,2,2,0
1/27/1930,"Kansas City, Kansas",Central  Airlines,,"Wichita - Kansas City, KS",Travel Air A6000A,,963,5,5,0
2/3/1930,"Hartford, Connecticut",Colonial Air Transport,,"Newark, NJ - Hartford, CT",Pitcairn PA-6 Mailwing,,N/A,1,1,0
2/10/1930,"Marden, England",Air Union,,N/A,Farman F-63,F-FHMY,N/A,2,2,0
4/18/1930,"Jersey City, New Jersey",Canadian Colonial Airways,,"Albany, NY - Jersey City, NJ",Fairchild 71,,634,4,4,0
5/10/1930,Buenos Aires,Aeropostale,,N/A,Latecoere 28,F-AJPD,N/A,4,3,0
6/5/1930,"Boston, Massachusetts",Colonial Air Transport,,N/A,Ford Tri-Motor 5,NC9675,5-AT-033,15,1,0
7/7/1930,"Bornholm, Denmark",Deutsche Lufthansa,,Stettin - Norway,Dornier Wal,D-864,44,8,5,0
7/10/1930,"Arkansas Pass, Texas",Cross Airways,,N/A,Lockheed Vega 5,NC-394H,87,5,5,0
8/22/1930,"Iglau, Czechoslovakia",Ceskoslovenske Aerolinie,,Prague - Brun -  Pressburg,Ford 5-AT-C Tri Motor,OK-FOR,5-AT-050,11,10,0
9/11/1930,"Croydon, England",Sabena,,N/A,Sabca F-VII,OO-AIN,N/A,2,2,0
9/25/1930,"Southesk, Saskatchewan, Canada",Western Canada Airways,,Calgary - Moosejaw,,,N/A,3,3,0
10/5/1930,"Near Beauvais, France",Military - British Air Ministry,,"Cardington, England - Karachi, Pakistan",Royal Airship Works R-101,G-FAAW,R-101,54,48,0
10/6/1930,"Dresden, Germany",Deutsche Lufthansa,,Berlin - Vienna,Messerschmitt M-20B,D-1930,443,8,8,0
10/12/1930,"La Rache, Morocco",Aeropostale,,Casablanca - Bahat - Toulouse,Latecoere 28,F-AJUU,N/A,4,4,0
10/28/1930,"Prince Rupert, BC, Canada",Alaska-Washington Airways,,N/A,Lockheed Vega,NC103W,120,3,3,0
10/30/1930,"Near Neufchatel, France",Imperial Airways,,"Paris, France - London, England",Handley Page W-8,G-EBIX,W8-7,6,3,0
10/30/1930,"Brookston, Indiana",Embry Riddle Company,,N/A,Pitcairn PA-6 Mailwing,,N/A,1,1,0
11/7/1930,"Off of Santos, Brazil",Syndicato Condor,,N/A,Junkers G-24,P-BAHA,921,9,1,0
11/18/1930,"Techachapi Mountains, California",PacifiAir Transport,,"Burbank, CA - Oakland, CA",Boeing 40,NC5340,N/A,3,3,0
12/9/1930,"Shanghai, China",China National Aviation Corporation,,Shanghai - Hankow,Loening C-W Air Yaht,,N/A,6,4,0
1/8/1931,"Melle, Belgium",Sabena,,N/A,Fokker F-VII,OO-AIL,N/A,2,2,0
1/22/1931,"Bluff Mountain, Washington",Varney Air Lines,,Portland - Pasco,Boeing 40,NC741K,N/A,1,1,0
2/8/1931,"Wairoa, New Zealand",Dominion Air Lines,,N/A,Desoutter II,ZK-ACA,N/A,1,1,0
2/20/1931,"Bagot, Manitoba, Canada",Western Canada Airways,,Winnigeg - Moosejaw,Fokker Universal F-14,,N/A,3,2,0
2/24/1931,Off Spain,Aeropostale,,N/A,Latecoere 32,F-AITX,N/A,3,1,0
3/21/1931,"New South Wales, Australia",Australian National Airways,,N/A,Avro 10,VH-UMF,241,8,8,0
3/31/1931,"Bazaar, Kansas",Trans Continental and Western Air,599,Kansas City - Wichita -  Los Angeles,Fokker F10A Trimotor,NC-999,1063,8,8,0
4/14/1931,"Near Letschen, Germany",Deutsche Lufthansa,,N/A,Messerschmitt M-20,D-1928,442,10,2,0
5/5/1931,"Burbank, California",PacifiAir Transport,,San Diego - Los Angeles,Boeing 40,NC5390,N/A,2,2,0
5/22/1931,"Wampit, Australia",Guiena Airways,,N/A,Junkers W-34,VH-UNR,N/A,1,1,0
